num_item_id,word_code,word1,word2,WordBank1,WordBank2,category,class,classForm,classEH,classRS,classEHse,classVerbs,CDI_Metadata_compatible
176,mcs_vc6_21slipper,slipper,slipper,slipper,slipper,clothing,Noun,Noun,Noun,Noun,Noun,Noun,slipper
177,mcs_vc6_22sneaker,sneaker,sneaker,sneaker,sneaker,clothing,Noun,Noun,Noun,Noun,Noun,Noun,sneaker
178,mcs_vc6_23snowsuit,snowsuit,snowsuit,snowsuit,snowsuit,clothing,Noun,Noun,Noun,Noun,Noun,Noun,snowsuit
179,mcs_vc6_24sock,sock,sock,sock,sock,clothing,Noun,Noun,Noun,Noun,Noun,Noun,sock
180,mcs_vc6_25sweater,sweater,sweater,sweater,sweater,clothing,Noun,Noun,Noun,Noun,Noun,Noun,sweater
181,mcs_vc6_26tights,tights,tights,tights,tights,clothing,Noun,Noun,Noun,Noun,Noun,Noun,tights
182,mcs_vc6_27underpants,underpants,underpants,underpants,underpants,clothing,Noun,Noun,Noun,Noun,Noun,Noun,underpants
183,mcs_vc6_28zipper,zipper,zipper,zipper,zipper,clothing,Noun,Noun,Noun,Noun,Noun,Noun,zipper
184,mcs_vc7_1ankle,ankle,ankle,ankle,ankle,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,ankle
185,mcs_vc7_2arm,arm,arm,arm,arm,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,arm
186,mcs_vc7_3bellybutton,bellybutton,bellybutton,bellybutton,bellybutton,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,belly button
187,mcs_vc7_4buttocks_bottom,buttocks/bottom,buttocks/bottom,buttocks/bottom,buttocks/bottom,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,buttocks/bottom*
188,mcs_vc7_5cheek,cheek,cheek,cheek,cheek,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,cheek
189,mcs_vc7_6chin,chin,chin,chin,chin,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,chin
190,mcs_vc7_7ear,ear,ear,ear,ear,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,ear
191,mcs_vc7_8eye,eye,eye,eye,eye,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,eye
192,mcs_vc7_9face,face,face,face,face,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,face
193,mcs_vc7_10feet,feet,feet,feet,feet,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,foot
194,mcs_vc7_11finger,finger,finger,finger,finger,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,finger
195,mcs_vc7_12hair,hair,hair,hair,hair,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,hair
196,mcs_vc7_13hand,hand,hand,hand,hand,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,hand
197,mcs_vc7_14head,head,head,head,head,body_parts,Noun,Noun,Noun,Noun,Noun,Noun,head
